"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0014706","striated muscle tissue development",337,-0.329412437099104,-1.40110605166868,0.00253818359022533,0.0287834900593297,0.0228981594091585,2142,"tags=21%, list=16%, signal=18%","23363/27086/7422/2022/3845/7040/7139/650/4092/10472/4853/652/688/51804/1906/80313/91807/409/8131/7832/57190/10060/861/467/5914/148/6498/4209/245806/4624/10848/5999/55013/2303/79784/3479/8854/7026/1291/406/8506/246329/9242/3164/6548/5159/2006/10021/26508/59269/6261/655/50507/6497/283149/5339/2702/7291/6943/5156/23135/2735/4851/221476/4015/4629/4666/7373/4703/1958/2353/3481"
"GO:0014015","positive regulation of gliogenesis",51,-0.524736938386541,-1.75260630724017,0.00257409342477888,0.0288431626695775,0.022945630822076,3015,"tags=45%, list=22%, signal=35%","7124/5584/3572/7133/443/23376/8140/1959/3845/7040/6663/650/1956/10800/7852/90865/2119/5270/7097/7732/4851/9423/745"
"GO:0072567","chemokine (C-X-C motif) ligand 2 production",16,-0.690148868648364,-1.74224164223651,0.00257659966120267,0.0288431626695775,0.022945630822076,2129,"tags=50%, list=16%, signal=42%","27086/7040/9314/7099/10631/4938/4940/2150"
"GO:2000341","regulation of chemokine (C-X-C motif) ligand 2 production",16,-0.690148868648364,-1.74224164223651,0.00257659966120267,0.0288431626695775,0.022945630822076,2129,"tags=50%, list=16%, signal=42%","27086/7040/9314/7099/10631/4938/4940/2150"
"GO:0009954","proximal/distal pattern formation",15,-0.696991437329015,-1.72503654017489,0.00255748461012968,0.0288431626695775,0.022945630822076,794,"tags=47%, list=6%, signal=44%","153572/22856/5087/8854/2736/2735/130497"
"GO:0048525","negative regulation of viral process",76,-0.474818748823969,-1.68515226443872,0.00255699025405558,0.0288431626695775,0.022945630822076,3331,"tags=45%, list=25%, signal=34%","81603/7706/4061/23272/147339/5610/24138/7124/9636/9830/55337/9683/3434/11043/85363/3669/5359/55223/6772/200316/6041/55196/2934/56829/3428/7538/64135/4938/4940/91543/4599/4939/2192/131578"
"GO:0003007","heart morphogenesis",220,-0.361884282884321,-1.48235628345172,0.002564717511559,0.0288431626695775,0.022945630822076,2840,"tags=31%, list=21%, signal=25%","388591/6909/182/6926/6659/2050/2535/10269/3516/7157/7135/54567/9095/8642/51684/57534/4607/7046/7422/2022/7040/7048/7139/650/4092/27250/4853/8828/652/1363/1906/57142/23129/1954/10060/53834/6615/5914/9353/4624/10848/2303/6662/8854/7474/55212/10252/57216/1289/3491/23768/2006/6586/26508/57178/6261/6091/655/2702/7291/4851/4886/2316/4666/11096/3357/6423/3037"
"GO:0071625","vocalization behavior",12,-0.750346848803206,-1.7674003723584,0.00266617557754694,0.0295944915143343,0.0235433362296023,1496,"tags=67%, list=11%, signal=59%","27286/57502/9378/1620/79784/85358/54413/9379"
"GO:0060512","prostate gland morphogenesis",17,-0.6906579837061,-1.75006857385835,0.00267074877750843,0.0295944915143343,0.0235433362296023,2795,"tags=71%, list=21%, signal=56%","5916/23213/2099/652/9420/6662/7474/4313/655/4851/3400/3371"
"GO:0060740","prostate gland epithelium morphogenesis",17,-0.6906579837061,-1.75006857385835,0.00267074877750843,0.0295944915143343,0.0235433362296023,2795,"tags=71%, list=21%, signal=56%","5916/23213/2099/652/9420/6662/7474/4313/655/4851/3400/3371"
"GO:0006399","tRNA metabolic process",195,0.328449520944217,1.48240216555721,0.00266106479394268,0.0295944915143343,0.0235433362296023,4318,"tags=40%, list=32%, signal=28%","55152/138716/51531/142940/8270/83707/84881/112495/5441/10799/207/4234/10775/348180/26024/134637/6897/126789/51010/55278/5434/10248/51637/2193/112487/90353/112858/54859/123283/3028/11062/5435/81605/26995/10556/54920/79042/51367/10667/11128/127253/339487/3035/57038/3735/2975/1787/11340/55718/116461/55140/80324/79587/5859/23438/24140/27037/64172/83480/23016/27304/9328/51504/84267/51654/661/6301/51493/92675/10978/5188/25917/57470/11157/64118/56931/8846/158234"
"GO:1903530","regulation of secretion by cell",381,-0.332926417980807,-1.42681143276514,0.00266109207751223,0.0295944915143343,0.0235433362296023,3124,"tags=34%, list=23%, signal=27%","5211/56262/55638/6387/3916/80024/7124/9619/9525/183/2149/6814/3091/6688/8573/6659/5587/94121/9581/10859/5530/84932/26509/7133/136/6844/54407/2624/301/10312/488/9501/2696/7043/8609/8618/79772/4756/283/8398/23400/10802/7040/150/2822/55107/23236/6813/2550/650/185/114897/3667/7099/27236/55512/1906/1956/9256/4905/240/3965/2213/23208/9066/54972/5978/3623/57586/252983/552/3708/3625/3071/8832/10411/23607/1136/112755/6812/8447/3566/5208/1601/43/10815/9545/219931/255057/5413/90007/8622/9783/51762/9899/5028/4628/5106/3479/79651/8111/5023/120892/406/8660/6696/64780/140/8938/3684/8792/945/6720/25930/7097/6934/91543/57555/201294/41/2150/4851/2151/9572/4856/84417/5321/2775/9024"
"GO:0014033","neural crest cell differentiation",76,-0.473560366491488,-1.68068621114498,0.00269227951298086,0.0297728041496106,0.0236851894634807,1939,"tags=30%, list=14%, signal=26%","6663/64839/8828/652/223117/1906/10371/54910/8482/57715/7869/56920/55698/2303/6662/8854/10501/655/2335/7291/1910/3911/3357"
"GO:0033144","negative regulation of intracellular steroid hormone receptor signaling pathway",32,-0.583877709211163,-1.76876772342282,0.00270978947732553,0.0299060233848386,0.0237911694985053,2129,"tags=28%, list=16%, signal=24%","27086/51341/9420/5187/1601/406/26508/6943/9612"
